epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc
1,1.4339600444313079,1.1970139279794156,0.41823237808307423,0.5142570534144562,0.5238471977029623,0.6942367055280165,0.5142566911126518,0.9521398651465941
2,1.2239742737913888,1.0930068670363908,0.3975494919249164,0.498314164310623,0.4901761069702912,0.7232552728835084,0.4983138233961072,0.9485777094123069
3,1.124209719281348,1.0223249823189853,0.4935438089251683,0.5941703061511507,0.6635073320425084,0.6522512405125247,0.5941699071453737,0.9591021591357971
4,1.0309742089538347,0.9836899072266696,0.47845913266530204,0.5796546007721847,0.6379631841575089,0.6900191327602964,0.5796542209493627,0.9566640103800913
5,0.9614741135211218,0.9053364958655968,0.518361374707691,0.6150457421559499,0.7039663867505471,0.6605407070051854,0.615045341520745,0.9622789018609551
6,0.916697028078257,0.8528965331530303,0.5060231987169844,0.603020980028345,0.6123316836815431,0.7460034438500345,0.6030205970292756,0.9591172464777914
7,0.8650192801086676,0.8180746169907324,0.5247179485731074,0.6158541568794775,0.6727687505807324,0.7047668629205891,0.6158537733550689,0.9644384491309691
8,0.8278321168193269,0.7631637189495429,0.5456862337290097,0.6390904713285299,0.6716204350363995,0.7130279171560353,0.6390900666592897,0.968091643258427
9,0.7922221292697248,0.742275811648101,0.5131669846556044,0.6083585238423376,0.5954133970285013,0.7631309767496136,0.6083581365765092,0.9625833918539326
10,0.7481513667023845,0.7997455615340994,0.5279369354190809,0.6228701581472449,0.73953792441819,0.6494182539729711,0.6228697698711809,0.9603801255815485
11,0.7128730759261146,0.703931458378106,0.5598470660620325,0.6549603671675787,0.7110592751882957,0.7157782928978916,0.6549599690272044,0.9680319796787219
12,0.6944898701612912,0.722176465090741,0.5307153666767184,0.6263600851084552,0.7350189373069695,0.6679172662697656,0.6263597058741533,0.9657899663689431
13,0.674708034754509,0.6863665688741073,0.5833581759301939,0.6776400888527601,0.7379378323857334,0.71287164654337,0.6776396678484595,0.9700744286012114
14,0.6597951754395451,0.7899098491735672,0.5132920029508076,0.6091164978459457,0.7442805006137616,0.6414159262597348,0.6091161098544048,0.9577480701918013
15,0.6465665150492911,0.7171331283249213,0.5499511272955426,0.6393065122736002,0.8003207101337335,0.6304801232852966,0.6393061154156452,0.9684515106544066
16,0.6390118799394086,0.6816963090488081,0.564910246645674,0.6624508972879941,0.7089767280798623,0.7231359736180327,0.6624504786506893,0.9677151454968399
17,0.6311197515931868,0.734399649618047,0.5402371250853223,0.6323009032961722,0.7776138290285338,0.6478584753131433,0.6323005160745361,0.9643114068534937
18,0.6232444131894718,0.6651231328423104,0.5586779899885782,0.6511830943574866,0.735996125181506,0.690808176454542,0.6511826874059026,0.9697791967499122
19,0.6223801098882206,0.6755830663978384,0.5593554534616746,0.6515291320528523,0.7373729307658284,0.690001053928333,0.6515287253745233,0.9682361731368504
20,0.6214984101317231,0.7751356210936321,0.5280808930153493,0.6179373427650148,0.7943716722194286,0.6131361595764352,0.6179369567251887,0.9606516977374473
