epoch,learning_rate,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,train_uncertainty_loss,val_uncertainty_loss,val_sar_reliability,val_optical_reliability,val_sar_uncertainty,val_optical_uncertainty,val_sar_trust,val_optical_trust,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
10,5.782172325201156e-05,0.713859255440415,0.7355905097354664,0.5399175295064385,0.636072017051758,0.8188277869027087,0.6181675154446338,0.6360716300742023,0.9649287877457865,0.5435063242912292,0.5234246200390076,0.46627821011489695,0.4187062313633688,0.48506009277333034,0.561789143453823,0.3287000103612964,0.2877440391882752,0.05739864334464073,0.0426378957927227,0.05468147248029709,0.04994545504450798,0.04609780013561249,0.04927704855799675,0.0035401040222495794,0.06625566631555557,0.061856020241975784
11,5.000000000000001e-05,0.6921886861146915,0.6840286962269397,0.5443540694244022,0.6393536179116838,0.6521302038341729,0.7555117313741384,0.6393532130484448,0.9673881959379389,0.5330958783863082,0.5031300116790814,0.45798857560318507,0.4181751904778936,0.46983986825085755,0.5364201546050189,0.3310839691188898,0.3004935301756591,0.05962526425719261,0.04319710657000542,0.05582042783498764,0.05043770372867584,0.047559160739183426,0.05043558403849602,0.003621425712481141,0.06789252907037735,0.06327497959136963
12,4.217827674798848e-05,0.6676834444441493,0.6522548558671822,0.5493963044236687,0.6440548503641135,0.6693367178730454,0.7472424109878627,0.6440544439337073,0.9703777184647121,0.5227345494287354,0.4889758619364728,0.4488744353980161,0.4071211619825845,0.46440822924121045,0.5135434978128819,0.3307375897852223,0.3027419312700127,0.06089681759476662,0.04323042929172516,0.056431882083415985,0.05265992879867554,0.04877361282706261,0.051884982734918594,0.0036680172197520733,0.06905868649482727,0.06419221311807632
13,3.454915028125264e-05,0.6486649357432884,0.687064187998852,0.5411850036597621,0.6385915165761432,0.6861701936319448,0.7119108255724143,0.6385911062657644,0.9655506262618504,0.513928977269975,0.4840442251958204,0.4414185724231634,0.42762943277700566,0.4542616873644711,0.5138267591763078,0.33032676627796687,0.31472083426007397,0.06230426952242851,0.04382769390940666,0.05707147717475891,0.05375604331493378,0.04999111220240593,0.05351724475622177,0.004146842285990715,0.07008516043424606,0.0654410868883133
14,2.730047501302267e-05,0.6466410175143253,0.6826599509026228,0.5489887451112386,0.6475412652992917,0.7472598736232728,0.6851828468819637,0.6475408669696966,0.9663163088680653,0.5057594592845629,0.4780328966928332,0.43985193365075614,0.4134099299736907,0.44315519125274055,0.512910598282064,0.3288388868396202,0.3044919290820534,0.06291008740663528,0.04408567026257515,0.05773194506764412,0.0548379011452198,0.05067909136414528,0.05476099252700806,0.0043559991754591465,0.07048096507787704,0.06574773788452148
15,2.0610737385376356e-05,0.6314530809010778,0.7336477854111222,0.5178599070081644,0.6122142778106798,0.7599478783773084,0.6327913708902898,0.6122139073692905,0.9626507705517029,0.5003670153636781,0.4849640912889095,0.43312034312258946,0.37917877101663794,0.44799300693394095,0.5219351785738816,0.3267128490999843,0.2793881700510222,0.06364905834197998,0.04441302269697189,0.058130815625190735,0.055364903062582016,0.051158372312784195,0.055484820157289505,0.004604746121913195,0.07121040672063828,0.06639575213193893
16,1.464466094067263e-05,0.6249652693846396,0.6608267009593127,0.5475859083726747,0.6375220918295085,0.8148791960265815,0.6354130903404565,0.6375217200376204,0.9711648319544417,0.4956459943500776,0.4951813428589467,0.432348767023408,0.3410785806396704,0.4503864291008939,0.5399762576215723,0.32152409282293215,0.24662383561012116,0.06419137865304947,0.04458260163664818,0.05844112113118172,0.05577104911208153,0.051837000995874405,0.05618809163570404,0.004845816176384687,0.07169022411108017,0.06690306216478348
17,9.549150281252635e-06,0.619886620177163,0.6566816644554727,0.5525238340791054,0.643582983881883,0.7919590810724771,0.6545316989669218,0.6435826064604353,0.9709858412153265,0.49274035294850665,0.5005598577220788,0.42799439356568153,0.2763002940945411,0.4531398539462786,0.5479798581493035,0.32013722818888973,0.2030943568398276,0.06438223272562027,0.04460214450955391,0.058626171201467514,0.056071292608976364,0.05214571952819824,0.05653219297528267,0.005067687481641769,0.0718270018696785,0.06704846024513245
18,5.4496737905816115e-06,0.6128415667880622,0.7080676169710213,0.535144412560803,0.6302586945269134,0.7718547682658279,0.645536975123248,0.6302583087445455,0.9655295382724719,0.4908159539576561,0.4687870228558444,0.42761732085367266,0.3794801012937273,0.4373845618762327,0.5001894856771726,0.32569986832945536,0.2835501863129353,0.06449759006500244,0.0446295365691185,0.05870102345943451,0.05614694580435753,0.05225977301597595,0.05669921636581421,0.005187050439417362,0.07196445763111115,0.06716234982013702
19,2.4471741852423237e-06,0.6088159099102967,0.6766528900754586,0.5433510337394175,0.6353805677999673,0.7965883904208715,0.6382288221458758,0.6353802061778207,0.967617935009217,0.4896269003077159,0.47755801259131914,0.4298565987120853,0.3276130156277606,0.4441217716490285,0.5109942490967472,0.32230802935160946,0.24457290846059163,0.0645797848701477,0.044636137783527374,0.05877094715833664,0.05627845972776413,0.052354905754327774,0.0568205900490284,0.005261911079287529,0.07204918563365936,0.06720821559429169
20,6.155829702431171e-07,0.6091333991360097,0.7742607146501541,0.5053225581647627,0.5973662452938001,0.7887416956146703,0.5978350970014675,0.5973658800809837,0.9595237474762992,0.4893310040472046,0.45902704623308077,0.42661906728583776,0.40840942839558203,0.43590723698058825,0.48214685406242863,0.32545279234312896,0.30887311632127573,0.06459473073482513,0.04463444650173187,0.05877283960580826,0.05628954619169235,0.05236022174358368,0.05683295428752899,0.005280584096908569,0.07207348942756653,0.06723220646381378
