sample_id,IoU,Dice,Precision,Recall,F1,PixelAcc,TP,FP,FN,TN
Mekong_1443339,0.9190384194084917,0.9578113810679708,0.9578014405222866,0.9578213218208689,0.9578108810686697,0.9379730224466253,46144,2033,2032,15327
Mekong_382276,0.9072970960881247,0.9513956666110881,0.9086502610333146,0.9983613273255382,0.9513951677273472,0.9962005615082368,2437,245,4,62850
Mekong_254910,0.15217393147447977,0.26415095728017063,0.4666667022222199,0.18421054778393298,0.2641505653263541,0.9994049072113129,7,8,31,65490
Mekong_424793,0.5966386557703295,0.747368421173508,0.7292250235954948,0.7664376842331327,0.7473679216042352,0.9919433593598642,781,290,238,64227
Nigeria_417184,9.337068151879487e-10,9.337068151879487e-10,1.3888888869598765e-09,2.849002840886032e-09,7.880500063218253e-12,0.9836578368990532,0,720,351,64465
Nigeria_225131,0.554987213414355,0.7138157899443819,0.6615853668854105,0.7750000008035715,0.7138152935317691,0.9973449706879068,217,111,63,65145
Nigeria_812045,0.8867199231219076,0.9399592512425194,0.8999634235582796,0.9836753731348722,0.9399587522312686,0.9424438476418695,29526,3282,490,32238
Nigeria_22088,0.35714286096938774,0.5263157915512465,0.8571428591836734,0.37974683936869086,0.5263153681136084,0.9983520507660164,60,10,98,65368
Pakistan_849790,0.7829511381438626,0.8782642680355973,0.8937713927615636,0.8632860701761709,0.8782637681878386,0.843154907213697,37079,4407,5872,18178
Pakistan_664885,0.6195524150535308,0.765090909261752,0.6760925454034801,0.8810720269998793,0.7650904180969766,0.995071411117629,526,252,71,64687
Pakistan_694942,0.8001075654714759,0.888955283349372,0.8201029033774159,0.9704283539964278,0.8889547868849951,0.9829864501803134,4463,979,136,59958
Pakistan_70625,0.28199566212437044,0.43993231842079394,0.6403940892604366,0.3350515469630141,0.43993186773064696,0.98484802244591,390,219,774,64153
Pakistan_528249,9.4339621751513e-09,9.4339621751513e-09,9.4339621751513e-09,1.0,1.886790530439819e-08,0.998382568344141,0,106,0,65430
Pakistan_167553,2.732240429693332e-09,2.732240429693332e-09,1.0,2.732240429693332e-09,5.464475379981024e-09,0.9944152831879516,0,0,366,65170
Paraguay_913449,0.28415651104287587,0.4425574428358854,0.70880000046592,0.32171387122606104,0.44255701366158057,0.9829711913912511,443,182,934,63977
Paraguay_280900,0.6993655443146094,0.823090178109394,0.7895316805567318,0.8596280744693293,0.8230896790638116,0.9906005859223848,1433,382,234,63487
Paraguay_790830,0.9333172263912398,0.9655086228464441,0.9605868457092395,0.9704810953434894,0.9655081228619845,0.9915771484223699,7726,317,235,57258
Paraguay_232281,0.5126165661443942,0.6777878513340715,0.61386030221,0.7565780596739201,0.6777873567765003,0.918655395493795,5607,3527,1804,54598
Paraguay_271769,0.4595267752683353,0.6296928330804668,0.7055449336414055,0.5685670268589106,0.6296923391758587,0.9933776855317173,369,154,280,64733
Paraguay_40936,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,0,0,0,65536
Paraguay_1029191,0.9147626740584074,0.9554841301745487,0.9674558620155027,0.9438050638984201,0.9554836302531623,0.9830932617037493,11891,400,708,52537
Paraguay_59731,0.7222820239803207,0.8387500001007813,0.7439024393083121,0.9613180516313495,0.838749508329976,0.9960632324066764,671,231,27,64607
Paraguay_683296,0.7097852030024893,0.8302624232746336,0.8575547867026789,0.8046536797593865,0.8302619238287611,0.9907226562348829,1487,247,361,63441
