epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,learning_rate,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
1,1.4280968412520394,1.2049866318702698,0.39159858511926265,0.49173577033076793,0.4700263598342631,0.7234558302692685,0.49173542023962336,0.9351186002238413,9.938441702975689e-05,0.007068965584039688,0.006854006089270115,0.009249360300600529,0.0024251788854599,0.0075439647771418095,0.008112139999866486,0.013467199169099331,0.0043969713151454926,0.006561335641890764
2,1.1588064772742135,1.118914886806788,0.40429626311043143,0.5001636719737526,0.5929361799881265,0.6054570651652288,0.5001633256563114,0.9365330385358146,9.755282581475769e-05,0.014241008087992668,0.016473548486828804,0.017344042658805847,0.008560153655707836,0.0114968316629529,0.013036218471825123,0.025318104773759842,0.009425570257008076,0.01647667959332466
3,1.0208333783916064,0.9099520853396212,0.5153085191549771,0.6134250877062817,0.6501504324830077,0.6874086537989935,0.6134246846451957,0.9570106763518258,9.45503262094184e-05,0.018514955416321754,0.021894270554184914,0.022766245529055595,0.01525313500314951,0.01578979380428791,0.01833735965192318,0.031770214438438416,0.01279437355697155,0.022577403113245964
4,0.930054737580201,0.8813433454612668,0.50233551448289,0.5968620330324927,0.7570802034979609,0.6065344295943068,0.5968616641185973,0.961876344145014,9.045084971874738e-05,0.02547447755932808,0.027717575430870056,0.028757378458976746,0.02052096277475357,0.020155733451247215,0.02344464883208275,0.034906335175037384,0.01667792908847332,0.026394078508019447
5,0.8714728458296686,0.7968309590320909,0.5331899457074674,0.6296270109862019,0.6700991538669361,0.7089153386330563,0.6296266145033738,0.9653716355227353,8.535533905932738e-05,0.030687619000673294,0.03130094334483147,0.03178008273243904,0.023037532344460487,0.02404612861573696,0.027403876185417175,0.03727351129055023,0.01858745887875557,0.028930626809597015
6,0.8169018829034435,0.7943966462371055,0.5368367780260516,0.6240089678685844,0.8188230800663583,0.6014575321725648,0.6240085938495799,0.9682258863127633,7.938926261462366e-05,0.03447340056300163,0.03338799998164177,0.03384677320718765,0.02558816783130169,0.025668201968073845,0.02956503815948963,0.03929059952497482,0.01966732181608677,0.029896479099988937
7,0.7797817755194884,0.7624671279212062,0.5392184444148621,0.6358014526264286,0.7081145164590182,0.681674780692408,0.6358010484227317,0.96417236328125,7.269952498697734e-05,0.03762875869870186,0.035815976560115814,0.03602901101112366,0.027650775387883186,0.02836405672132969,0.031859349459409714,0.041343383491039276,0.021473629400134087,0.03302846476435661
8,0.7467509436879366,0.8674003434984872,0.47103825133345006,0.5572979491151845,0.8224372280372988,0.5219870758199089,0.5572976121625963,0.9533132488807935,6.545084971874738e-05,0.04004425182938576,0.03771933540701866,0.03813471272587776,0.029603058472275734,0.03059077262878418,0.034469716250896454,0.04324581101536751,0.02369234524667263,0.03470863774418831
9,0.7176366793730903,0.6769411766462112,0.55109912345885,0.6443867547840226,0.6836545069638811,0.7096321545641002,0.6443863616589022,0.9704102934076545,5.782172325201156e-05,0.042161453515291214,0.039315659552812576,0.03947766125202179,0.030307095497846603,0.032223694026470184,0.03563544899225235,0.044865019619464874,0.024623243138194084,0.036397673189640045
10,0.6974242131506639,0.6852818250321271,0.5588372362844354,0.6486574485425869,0.735109694114387,0.6871196464155356,0.6486570491752808,0.9693313770079881,5.000000000000001e-05,0.0433662123978138,0.04050659015774727,0.04052186757326126,0.03079366497695446,0.03379674628376961,0.03694606199860573,0.046584442257881165,0.025215253233909607,0.0372006930410862
11,0.6754506109725862,0.6670081793759646,0.5663633342768518,0.656030711943307,0.7274504779472791,0.693688587232764,0.656030310672915,0.9714571492055829,4.217827674798848e-05,0.045082371681928635,0.041493870317935944,0.0413992777466774,0.032001130282878876,0.03465084359049797,0.03795597329735756,0.04717836156487465,0.02595016174018383,0.03790184482932091
12,0.6694072163294232,0.7338089796431949,0.5407756537566887,0.6356127401548641,0.7625814685031396,0.6637089278763052,0.6356123632425933,0.9641975660002633,3.454915028125264e-05,0.04620931297540665,0.04263252764940262,0.042409077286720276,0.03251686319708824,0.035147227346897125,0.0389898419380188,0.04783857241272926,0.02662508748471737,0.0394289456307888
13,0.6566360817246494,0.6750873090343529,0.5794174859736733,0.6716921803004778,0.777872931740785,0.6919873379361012,0.6716917753922642,0.9698088570926966,2.730047501302267e-05,0.04668409004807472,0.04302847385406494,0.042585402727127075,0.03344184532761574,0.03572796285152435,0.039934974163770676,0.048343535512685776,0.027161797508597374,0.04006333276629448
14,0.6445200198758689,0.678884756699037,0.5669825035040931,0.6625719980251216,0.7398930100836181,0.7096764595615817,0.6625715970261369,0.9677540639813027,2.0610737385376356e-05,0.047119274735450745,0.04351191222667694,0.04307568073272705,0.03390324115753174,0.03641815483570099,0.04070378094911575,0.049048494547605515,0.027659334242343903,0.0405501164495945
15,0.6324798095498293,0.6920411630292956,0.5616720748908226,0.6539403040652608,0.7874034475556898,0.6696967246439515,0.653939915912418,0.9682462885138694,1.464466094067263e-05,0.04794471710920334,0.04403321072459221,0.043560512363910675,0.03424517810344696,0.03700313717126846,0.04129175841808319,0.04955240711569786,0.027847642078995705,0.040898241102695465
16,0.6255806044394535,0.670159596154529,0.5735006878907248,0.6631528461949785,0.793191938513226,0.667242467450459,0.6631524538348141,0.9705904842762465,9.549150281252635e-06,0.048171404749155045,0.044069088995456696,0.043684154748916626,0.034745294600725174,0.03743487969040871,0.04185867682099342,0.049649838358163834,0.027984941378235817,0.04095586761832237
17,0.6203095436332717,0.6459493288833104,0.5890683462288503,0.68053290172677,0.7597826892913986,0.7059411692191959,0.6805324944025757,0.9714511485581987,5.4496737905816115e-06,0.048335473984479904,0.04422307759523392,0.04374392330646515,0.03487822413444519,0.03758005052804947,0.04211477190256119,0.049628254026174545,0.02820439822971821,0.04112902656197548
18,0.6165501534170101,0.6776577098650879,0.5670566047753688,0.6643585377270763,0.7093503852755095,0.7413562536283241,0.6643581303811522,0.9669391760665379,2.4471741852423237e-06,0.04845700412988663,0.044336456805467606,0.04382281377911568,0.03499366343021393,0.037684015929698944,0.04226405918598175,0.0497293584048748,0.0282970629632473,0.041211746633052826
19,0.6144277776281039,0.6654180110840315,0.5730716042677045,0.6625415347177703,0.7909222814178142,0.6711242709287513,0.6625411328458433,0.9709086900346735,6.155829702431171e-07,0.04852762445807457,0.04437882453203201,0.043867047876119614,0.034989144653081894,0.037747036665678024,0.04233315587043762,0.04976481944322586,0.02831653505563736,0.041272807866334915
20,0.6096797212958336,0.6545702553029811,0.58645725730574,0.6809299076187156,0.7376067357952807,0.7231829633538222,0.6809294903596324,0.9699571588066187,0.0,0.048538047820329666,0.04438439756631851,0.04387388005852699,0.0349983312189579,0.03776605427265167,0.04235339164733887,0.04977714642882347,0.028333047404885292,0.041287656873464584
