epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,learning_rate,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
1,1.4046799143155415,1.2139154933811573,0.4588374315378281,0.5580770204308572,0.6336382814166582,0.6348783388110697,0.5580766447367127,0.9500212937258603,9.938441702975689e-05,0.005596677307039499,0.007590858731418848,0.007597482763230801,0.006137973628938198,0.004042419139295816,0.006852210499346256,0.012586236000061035,0.0032311894465237856,0.012727820314466953
2,1.198685688631875,1.0065548393163788,0.4955194523056267,0.5973491081508054,0.6034651689231005,0.7283604362588763,0.5973487080088895,0.9549699419000176,9.755282581475769e-05,0.012100668624043465,0.017008859664201736,0.01617117039859295,0.011117848567664623,0.006633581127971411,0.013353564776480198,0.026972752064466476,0.005436422303318977,0.02581332065165043
3,1.0632010984515388,0.9471516584077578,0.4617977431665068,0.5595045578083723,0.5456187900323222,0.7454090822545928,0.5595041825656343,0.9470324569873596,9.45503262094184e-05,0.018833918496966362,0.029986616224050522,0.025600217282772064,0.018913978710770607,0.01093549095094204,0.023950248956680298,0.03296395763754845,0.00773663679137826,0.032336484640836716
4,0.9668019102915885,0.8749932171253676,0.5038668763740861,0.5998776585963183,0.6340624820948808,0.7012331105914813,0.5998772628906424,0.9607881696036692,9.045084971874738e-05,0.02366010658442974,0.03951320797204971,0.03334122896194458,0.028201913461089134,0.014489825814962387,0.0316680409014225,0.03771784529089928,0.009370554238557816,0.036990005522966385
5,0.9052629464912036,0.8166197876581985,0.5092077107213151,0.6063971137452626,0.6391927413848388,0.71962554766381,0.6063967218873367,0.9608432041125351,8.535533905932738e-05,0.02767118625342846,0.047384604811668396,0.0395633801817894,0.03253801167011261,0.016195224598050117,0.036641694605350494,0.04117424041032791,0.010055034421384335,0.039881229400634766
6,0.8508249483411274,0.7945514902305068,0.5284289609536785,0.624580168129747,0.7088491099817544,0.6856572746267393,0.6245797720118393,0.9636890539962254,7.938926261462366e-05,0.03110031969845295,0.05437329784035683,0.04548267647624016,0.036566492170095444,0.017735067754983902,0.03918936476111412,0.044360145926475525,0.011035042814910412,0.043150365352630615
7,0.8079710243240236,0.837110311462638,0.5124818027797177,0.6020450530872661,0.7890333318767627,0.598705946555893,0.6020446851847653,0.9574223207623771,7.269952498697734e-05,0.035048048943281174,0.059720516204833984,0.049971166998147964,0.04058975726366043,0.02028648369014263,0.04274667799472809,0.04680324345827103,0.010328535921871662,0.044998522847890854
8,0.7683767052515159,0.7238717438297325,0.5534770037862653,0.6488554437329723,0.7066486723394523,0.7042063659707568,0.6488550417042062,0.9655379391788097,6.545084971874738e-05,0.03604411333799362,0.06277452409267426,0.052591729909181595,0.04203370213508606,0.02230721525847912,0.04584566131234169,0.050506141036748886,0.011516425758600235,0.0486018992960453
9,0.7383668527066235,0.7775020062756003,0.5276885034349685,0.6234451755902899,0.7136000345149373,0.6889124457673832,0.6234447814191216,0.9594457390603055,5.782172325201156e-05,0.03832520171999931,0.06586296856403351,0.0546545647084713,0.04399973899126053,0.023850083351135254,0.04931921884417534,0.05289853364229202,0.012011478655040264,0.05093075707554817
10,0.7156588235603911,0.7207277695114693,0.5474951824639105,0.646785595157624,0.688957763350651,0.7397401963058904,0.6467851990817529,0.9646390422006671,5.000000000000001e-05,0.039763085544109344,0.06829021871089935,0.05681280791759491,0.04648251459002495,0.02539760433137417,0.05177511274814606,0.05273522064089775,0.012483067810535431,0.0507897287607193
11,0.6911760642828922,0.7120077453469962,0.5630689152994451,0.6583147657079578,0.7541291800115769,0.6824782295466052,0.6583143569408527,0.9653356316384305,4.217827674798848e-05,0.04056330397725105,0.0703851506114006,0.05882951244711876,0.048452749848365784,0.02761855721473694,0.05399766191840172,0.053890012204647064,0.013468630611896515,0.05239766091108322
12,0.6777574970786061,0.6811198002836677,0.5443600062808851,0.6405078017502911,0.67751111582732,0.720102725199108,0.6405074046990595,0.9674432304468048,3.454915028125264e-05,0.04159417003393173,0.07227762043476105,0.06045881658792496,0.04940428212285042,0.029143517836928368,0.055007755756378174,0.054013412445783615,0.013555414043366909,0.05252591148018837
13,0.662995899864842,0.703455427305752,0.5705190796031023,0.6657648991628626,0.7565444093399863,0.6917208802061389,0.6657644923282926,0.9662226987688729,2.730047501302267e-05,0.04177336022257805,0.07327966392040253,0.060909099876880646,0.049944013357162476,0.030314404517412186,0.05615871772170067,0.05463331937789917,0.014486104249954224,0.05327815189957619
14,0.6517991124401017,0.6971385149975841,0.5518262227964789,0.6475915459705708,0.7480255834163578,0.6912225899748757,0.6475911501464682,0.9653286023086376,2.0610737385376356e-05,0.0421559102833271,0.07375884801149368,0.061703793704509735,0.0505707785487175,0.03151199221611023,0.05745699629187584,0.055637869983911514,0.014729548245668411,0.054400790482759476
15,0.6340351540536161,0.6883606631936652,0.5592124193191272,0.6509868889044774,0.7977378070779433,0.6651107511457097,0.6509865108732243,0.9685154604108146,1.464466094067263e-05,0.042615801095962524,0.07422134280204773,0.06224045902490616,0.05095212534070015,0.03190267086029053,0.05799164995551109,0.05594293773174286,0.015075684525072575,0.05473490059375763
16,0.6317607478371688,0.6976787402723612,0.5633775440529663,0.658842423888221,0.7287379920551799,0.6986385764595578,0.6588420201419939,0.964409303129389,9.549150281252635e-06,0.04301520809531212,0.07483884692192078,0.06275330483913422,0.05128101259469986,0.0324869230389595,0.058552492409944534,0.05615704879164696,0.015159452334046364,0.055217403918504715
17,0.6245017762754171,0.7211409071355723,0.5415845936997342,0.6290574269741898,0.8204054703948359,0.6219709412338346,0.6290570548671583,0.9642371702729986,5.4496737905816115e-06,0.043206095695495605,0.07504235953092575,0.06300724297761917,0.0515064038336277,0.032662440091371536,0.05888122692704201,0.05634545907378197,0.015583458356559277,0.05545034259557724
18,0.6164125909230539,0.6754915258020497,0.5758364674058261,0.6710985254536759,0.7666282434913201,0.7036659854790387,0.6710981188171498,0.9675484989466292,2.4471741852423237e-06,0.04329228773713112,0.07516204565763474,0.06306377053260803,0.05156446620821953,0.03275783360004425,0.058987073600292206,0.05654983967542648,0.01563280262053013,0.05565481632947922
19,0.6121811506648859,0.696368257148882,0.5542360288118742,0.6444218838317154,0.778227381669963,0.66874970013577,0.6444215025400982,0.9666485732860779,6.155829702431171e-07,0.04334541782736778,0.07524377107620239,0.06311890482902527,0.05160132795572281,0.03281395137310028,0.05907952040433884,0.05657416209578514,0.015688693150877953,0.05572227016091347
20,0.6160574651781529,0.744882110464439,0.5433735335591983,0.6346332072286511,0.778656037622286,0.6418609049555896,0.6346328217402057,0.9603393211793364,0.0,0.0433613546192646,0.07526056468486786,0.06314324587583542,0.0516090989112854,0.032832179218530655,0.059098776429891586,0.05657519772648811,0.01569279655814171,0.05573059991002083
