epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc
1,1.4123661615072736,1.1459877661774667,0.47072180859045637,0.5672549463512617,0.6344514549170309,0.6489153645530104,0.5672545668212656,0.9653519191099017
2,1.1859563728646627,1.0604235596871108,0.46612918152264426,0.5648170383260936,0.5928141180259534,0.701093746363591,0.56481666598153,0.957535475827335
3,1.0765033981629781,0.9498125468747,0.502767219409998,0.5976629555883186,0.5945251548973529,0.7459107090222294,0.5976625759323785,0.9614986462539501
4,1.0166173684928153,0.8912229171294844,0.5421771103695971,0.6394810980177259,0.6834263923870086,0.6897337930525388,0.6394806870374656,0.9674171704924508
5,0.9590106163587835,0.8791121376699276,0.5317315636266586,0.6309717124747697,0.6928255570537699,0.6760173274980456,0.6309713039515037,0.9634053090984902
6,0.909921919069593,0.8396247216824735,0.5328945999212973,0.6290810395640428,0.623483710334665,0.7637333496530196,0.629080638293645,0.9667943032939782
7,0.8702553361062966,0.793739291221908,0.5636238020180218,0.6524721976050402,0.7127281817599426,0.6924053810720291,0.6524717946165302,0.9708538269728757
8,0.8397319023571317,0.7998689766345399,0.5557920805963031,0.6536170494543497,0.6912597742122507,0.7115591280515375,0.6536166375145216,0.9673638504542662
9,0.8236478651090274,0.77298033823458,0.5700800653157837,0.6649605623151372,0.6924636064879022,0.7260201750699531,0.664960135905943,0.9711423723885183
10,0.8126885854890422,0.7941520625955603,0.5585789764836738,0.6570065900529508,0.6992782912664711,0.7199555264141245,0.6570061793704625,0.9673144736986482
