transition,modality,gamma
1,sar,0.048335473984479904
1,optical,0.04422307759523392
1,fused,0.04374392330646515
2,sar,0.03487822413444519
2,optical,0.03758005052804947
2,fused,0.04211477190256119
3,sar,0.049628254026174545
3,optical,0.02820439822971821
3,fused,0.04112902656197548
