epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,learning_rate,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
11,0.6790266916274078,0.6654770387692398,0.5450879012034008,0.6348676060649111,0.7316250621194959,0.6544992328753533,0.6348672215131707,0.970647919044066,9.925546630773869e-05,0.050650060176849365,0.04459846764802933,0.04963202774524689,0.044839490205049515,0.03549472242593765,0.04229931905865669,0.07340802252292633,0.062124479562044144,0.06807272136211395
12,0.668520010120812,0.6648139959473288,0.5597039570328569,0.649400276309596,0.7655028115427248,0.679761913877064,0.649399885403489,0.9704678996225421,9.911436253643444e-05,0.0524105429649353,0.046423815190792084,0.05164763703942299,0.04849867895245552,0.039192818105220795,0.04626104235649109,0.07843377441167831,0.06405326724052429,0.07344824820756912
13,0.6531786415725946,0.6540190761678675,0.5652987857301492,0.6569426331218492,0.7218099591994291,0.7088666407840972,0.6569422288498873,0.9687520573648174,9.896114053108829e-05,0.05406704545021057,0.04726443812251091,0.054273173213005066,0.05108599737286568,0.03911053016781807,0.0479578822851181,0.08062698692083359,0.06628502160310745,0.07607145607471466
14,0.6475683443011746,0.6626652567909005,0.5741224601436717,0.6670683114978723,0.7555477140286108,0.6933819676133776,0.6670679078565414,0.9669112301944347,9.879583809693738e-05,0.05604197084903717,0.04991475120186806,0.05692379176616669,0.05281573161482811,0.04022490605711937,0.048233915120363235,0.08178655058145523,0.06938375532627106,0.07839367538690567
15,0.6417835364561706,0.7837560825635878,0.5060482337711911,0.5970305966084603,0.8086946207753629,0.5898175778644854,0.5970302321987545,0.9571102870984024,9.861849601988384e-05,0.058193307369947433,0.051098473370075226,0.05922246724367142,0.05913688614964485,0.04089606553316116,0.05200020596385002,0.08696065843105316,0.07308240979909897,0.08395456522703171
16,0.628357075923492,0.6914633087227854,0.5361890058089174,0.623765091960467,0.8258392396522164,0.6071584195078988,0.6237647233071233,0.9671624001492275,9.842915805643157e-05,0.06182626634836197,0.05265509709715843,0.06205395609140396,0.057981424033641815,0.04014304280281067,0.052548523992300034,0.0866972953081131,0.07367679476737976,0.08475882560014725
17,0.6052954282079425,0.6911601140425446,0.5559044906886543,0.6473646438489624,0.7971177340732525,0.6406182021150959,0.6473642534614538,0.9673998543385709,9.822787092288992e-05,0.0625230148434639,0.05456088110804558,0.06375515460968018,0.06067788228392601,0.04195630922913551,0.05449166148900986,0.0895366221666336,0.07435693591833115,0.08696791529655457
18,0.5971720482237519,0.6706969495234865,0.5710007145721832,0.6638177649247083,0.7616665536673672,0.6920871543959198,0.6638173661610028,0.9679762593815836,9.801468428384718e-05,0.06397254765033722,0.05588390305638313,0.0662274956703186,0.06132221966981888,0.042516518384218216,0.0560198649764061,0.08993852883577347,0.07485517114400864,0.08694984763860703
19,0.5913584575293556,0.6824519652663992,0.5431401208681435,0.6255704751876563,0.8524762919720934,0.6124001070010902,0.6255701090481071,0.9708836587627282,9.778965073991652e-05,0.06475553661584854,0.05697109177708626,0.06650719791650772,0.06315924227237701,0.043602485209703445,0.05738094449043274,0.09190647304058075,0.0749567374587059,0.08963333815336227
20,0.5983903326892427,0.6646554709485407,0.552907107321172,0.646951444767942,0.698657925731314,0.7045410256793295,0.646951039443869,0.9675548424881496,9.75528258147577e-05,0.06702941656112671,0.058109041303396225,0.0687468945980072,0.06409531086683273,0.0464651957154274,0.05878978967666626,0.09335155785083771,0.0766984298825264,0.09098078310489655
21,0.5750397521972893,0.6819154833642285,0.5676740192881107,0.6598740899521671,0.7675837760840446,0.672619245395768,0.6598736862942913,0.9664467800869031,9.730426794137729e-05,0.06729792058467865,0.0593668594956398,0.07045567780733109,0.06435754895210266,0.046576302498579025,0.05892644450068474,0.09374087303876877,0.07712243497371674,0.09124038368463516
22,0.5859347988540927,0.6113015151258265,0.5718725082966464,0.6610670843224089,0.7319754170489357,0.6993285708629925,0.6610666835839111,0.9715521308813202,9.70440384477113e-05,0.06871174275875092,0.059903375804424286,0.07265250384807587,0.06618843972682953,0.04846334457397461,0.06152902916073799,0.09467902034521103,0.07922632992267609,0.09368718415498734
23,0.5634130222929848,0.6817200590720337,0.5580106882678838,0.6514548162968485,0.7746559480550854,0.6625410540217342,0.6514544202251445,0.965198302536868,9.67722015414934e-05,0.07105206698179245,0.060567457228899,0.074912428855896,0.06495501101016998,0.04904979094862938,0.06184660270810127,0.09757879376411438,0.0803055465221405,0.0956825315952301
24,0.5648535714292574,0.7367877784404862,0.5309598006951047,0.6209238606496662,0.7820195890619951,0.6313478171390127,0.6209234839956647,0.9608529765954178,9.64888242944126e-05,0.07174357771873474,0.06181129440665245,0.07676508277654648,0.06631430983543396,0.04945164918899536,0.06302625685930252,0.09898080676794052,0.08417744189500809,0.09929057955741882
25,0.5417024983861853,0.686632556443134,0.5399303252043527,0.6249047480606217,0.8382115012392505,0.6109101506910569,0.6249043817226146,0.9661650925539853,9.619397662556436e-05,0.07592862844467163,0.06257223337888718,0.07894627749919891,0.07072386890649796,0.05318388715386391,0.0666079893708229,0.09857557713985443,0.0842977985739708,0.0984061062335968
26,0.5417359078391677,0.7160361317101489,0.5191249099234745,0.6033033227693559,0.8551714004769746,0.5876750215773068,0.6033029640290146,0.9673725942547402,9.588773128419907e-05,0.07691983878612518,0.06343862414360046,0.07985567301511765,0.07212882488965988,0.05257990583777428,0.06849312782287598,0.09951110929250717,0.08752033114433289,0.10069261491298676
27,0.5267258133325312,0.785320716376385,0.48467849843278676,0.5669751958081507,0.8753734068681492,0.535933204039595,0.566974856870037,0.963137680225158,9.557016383177228e-05,0.07930892705917358,0.06445865333080292,0.08185479044914246,0.07244046777486801,0.05404217913746834,0.06953305006027222,0.10123161226511002,0.08773574978113174,0.10274693369865417
28,0.5128342002955457,0.6878789471608869,0.5293654616820201,0.6164552394177831,0.81730285206735,0.617761573861376,0.6164548701287522,0.9681825102045295,9.524135262330099e-05,0.08024696260690689,0.0646861344575882,0.0828423723578453,0.07417333126068115,0.0584615021944046,0.073964424431324,0.10382919758558273,0.08896229416131973,0.10520820319652557
29,0.5027695810865789,0.7305836386225196,0.5250435029481159,0.6089082726110242,0.888715736339842,0.5728145694517464,0.6089079190077287,0.9638179821914501,9.49013787880308e-05,0.08109242469072342,0.0654713362455368,0.08355443924665451,0.07455002516508102,0.05799437686800957,0.07412873953580856,0.10318313539028168,0.08989455550909042,0.10560274869203568
30,0.4935385659484873,0.6481761381532369,0.5582441266994287,0.6438451225086452,0.8647027160404391,0.6155242318982946,0.643844747200995,0.9694340738017907,9.455032620941841e-05,0.08155881613492966,0.06652034819126129,0.08495856076478958,0.07594809681177139,0.05659646913409233,0.0741553008556366,0.10623910278081894,0.09079394489526749,0.10741494596004486
31,0.49566262859910254,0.6041193884075358,0.5573808148109062,0.6468980142243176,0.7065873049370206,0.706552690187992,0.6468976115340854,0.9706100292420119,9.418828150443471e-05,0.08357300609350204,0.06681012362241745,0.08611597120761871,0.07706856727600098,0.05555190145969391,0.07442411035299301,0.10782262682914734,0.09079723060131073,0.10879656672477722
32,0.4721556720102117,0.7656690012872889,0.5026169729713469,0.5859428220063693,0.8460544736156514,0.5604726994111917,0.585942481094983,0.9575565638167135,9.381533400219321e-05,0.08469992130994797,0.06873849779367447,0.08805366605520248,0.07772871851921082,0.05840378999710083,0.0762389674782753,0.10867265611886978,0.09087537974119186,0.10774912685155869
33,0.46835434361405315,0.6396787044372452,0.5320060462178352,0.6141401519957264,0.8696716581569607,0.5962202968406778,0.6141398015735567,0.9696883298038097,9.343157572190959e-05,0.0867919996380806,0.06997005641460419,0.08999763429164886,0.07928402721881866,0.05908672511577606,0.07768641412258148,0.10976212471723557,0.09312095493078232,0.10872369259595871
34,0.4523951816594317,0.7039501432622417,0.5297172046155294,0.6135700061816567,0.8565880280829521,0.5988358737523717,0.6135696468945216,0.9666609174749824,9.303710135019721e-05,0.0874047800898552,0.07122956216335297,0.0911511555314064,0.07936175912618637,0.06062156334519386,0.07993725687265396,0.11053062975406647,0.09363488107919693,0.10931374877691269
35,0.4454618589361272,0.6592765259608794,0.5216873120061178,0.600558783551217,0.8524389941305748,0.5907460790262918,0.6005584355468674,0.9710561345132549,9.263200821770464e-05,0.08750839531421661,0.07163649797439575,0.09201709181070328,0.08037974685430527,0.06111377477645874,0.08124139904975891,0.11179783195257187,0.09365147352218628,0.11046957224607468
36,0.43851671733021264,0.6149508178736387,0.5604016019247116,0.6464856765480083,0.8085547173931972,0.6472049873611299,0.6464852979712314,0.9721041904406601,9.221639627510079e-05,0.08978215605020523,0.07192856073379517,0.09322910755872726,0.0824672058224678,0.06291493773460388,0.08358939737081528,0.11206291615962982,0.09746290743350983,0.11289988458156586
37,0.4196950335587774,0.7603843407182211,0.5172834103045489,0.6016854189145416,0.8736702081504432,0.558114792350088,0.6016850700339071,0.9617666180214185,9.179036806841354e-05,0.08938074111938477,0.07352031767368317,0.09459512680768967,0.08310040086507797,0.0644758865237236,0.08427503705024719,0.11269237846136093,0.0982791855931282,0.11340850591659546
38,0.4178593225392794,0.7932387382796641,0.5015233120083589,0.5830102414034484,0.9230551043530014,0.5359479921821254,0.5830099055266957,0.9619759548915906,9.135402871372811e-05,0.09229186922311783,0.07435224950313568,0.09683717787265778,0.08329826593399048,0.06321155279874802,0.08358190953731537,0.11376013606786728,0.09787411242723465,0.11163759231567383
39,0.4014523622269432,0.639109954907653,0.5314384596659267,0.6163613791814471,0.8135006939376757,0.6214470343994218,0.6163610099295238,0.9705032177185744,9.09074858712512e-05,0.09216644614934921,0.07561644911766052,0.09815138578414917,0.08357858657836914,0.0656956359744072,0.084823377430439,0.11505171656608582,0.09772150218486786,0.112683966755867
40,0.38974818267992567,0.6273895221647252,0.5662374781376904,0.6489220937332287,0.8626515413351891,0.629341848848125,0.6489217131963981,0.9718931390998069,9.04508497187474e-05,0.09319227188825607,0.07624325901269913,0.09926953911781311,0.08433355391025543,0.06671185791492462,0.08444177359342575,0.11542273312807083,0.09822332859039307,0.11277230083942413
41,0.38556077731921085,0.761087147958493,0.48720276643254473,0.5692245451783948,0.8986546772960766,0.5233881712827623,0.5692242104384226,0.9594104209642732,8.998423292435457e-05,0.094718337059021,0.07707151770591736,0.10091494768857956,0.0858246460556984,0.0679217278957367,0.08567149192094803,0.1148931011557579,0.09945309907197952,0.11334928125143051
